,order,parameters,aic,bic,log_likelihood,val_mse,val_rmse,val_mae,test_mse,test_rmse,test_mae,alpha,beta,omega,convergence
"GARCH(1,1)","(1, 1)",4,14233.723739300332,14260.017277184596,-7112.861869650166,6.077929230841574,2.4653456615334033,1.0598353063186179,8.915796899398309,2.9859331706182424,1.1307395060992371,0.07050843108009383,0.9225344913286272,0.008976730268669094,True
"GARCH(1,2)","(1, 2)",5,14235.72373973741,14268.59066209274,-7112.861869868705,6.0779286767782255,2.4653455491630836,1.0598371553712977,8.91579646431655,2.985933097763001,1.13074177583586,0.07051061677006402,0.9225320611625962,0.008976681432168936,True
"GARCH(2,1)","(2, 1)",5,14224.355829116283,14257.222751471612,-7107.177914558141,6.073671065871034,2.464481906176435,1.079375326625258,8.91276514360078,2.985425454370077,1.154682287027617,0.032480304088520345,0.9096157512722506,0.011175020381720566,True
"GARCH(2,2)","(2, 2)",6,14218.018738573894,14257.45904540029,-7103.009369286947,6.098260595448908,2.4694656497811236,1.0183544452544413,8.933356311112043,2.988872080085068,1.0791754736964838,0.030593048207452855,0.31090232332995393,0.016631870307919697,True
"GARCH(1,3)","(1, 3)",6,14237.723739597044,14277.16404642344,-7112.861869798522,6.077929455165072,2.465345707028747,1.0598345577190573,8.91579707555143,2.985933200115406,1.1307385871833744,0.07050735222456764,0.9225353548552043,0.008977042911473464,True
"GARCH(3,1)","(3, 1)",6,14226.35582859912,14265.796135425517,-7107.17791429956,6.073669601635411,2.464481609108782,1.0793857701513185,8.912764319700702,2.985425316383028,1.1546949235211241,0.03248086649103954,0.9096104408884386,0.011176708826538357,True
